Subjecty,2016count
Domestic Politics,326
Crime/Legal Action,190
National/Presidential Elections,158
Elections,143
Murder/Manslaughter,120
Education,116
School,100
University/College,64
Regional Politics,63
Religion,50
Law Enforcement,49
Sex Crimes,38
Government Budget/Taxation,37
Sub-National/Local Budget/Taxation,29
Upper House,26
Migration,25
Terrorism,24
Legislative Branch,21
Lower House,21
Civil Unrest,20
Social Issues,20
Transport,20
Corporate Crime/Legal Action,19
Judicial Branch,19
Surveys/Polls,19
Child Abuse,18
Storms,18
Transport Accidents,18
Urban Planning/Development,16
Plans/Strategy,15
Vector-borne Diseases,15
Outbreaks/Epidemics,15
Burglary/Theft,15
Fraud,14
Hurricanes/Typhoons,14
Racism,14
Wildfires,13
Charities/Philanthropy,13
Death Penalty/Capital Punishment,13
Justice Department,13
Natural Environment,12
Air/Water/Land Quality,12
Weather,12
Welfare/Social Services,12
Suggested Reading – Insurance,12
Drought,11
Health,11
Suggested Reading – Energy,11
Economic Performance/Indicators,10
Corruption,10
Gun Control,10
Sexuality,9
Management Moves,8
Assault,8
Drug Trafficking/Dealing,8
Floods/Tidal Waves,8
Human Rights/Civil Liberties,8
Rampage/Serial Killings,8
Senior Level Management,7
Budget Account,7
International Relations,7
Ethical Issues,7
LGBT Rights,7
Travel,7
Pricing,6
Workplace Discrimination,6
Abortion,6
Illegal Immigration,6
Mental Disorders,6
Accidents/Man-made Disasters,6
Sex Discrimination,6
Medical Treatments/Procedures,6
Veterans Affairs Department,6
Headline-Only Content,6
News Digests,6
Executive Pay,5
Workplace Safety/Health Issues,5
Sales Tax,5
Building Fires/Explosions/Collapses,5
Fire/Rescue Services,5
Cybercrime/Hacking,5
Juries,5
Marijuana Usage,5
Environmental Protection,5
Prisons/Prisoners,5
Robbery,5
Traffic Violations,5
Regulation/Government Policy,4
Acquisitions/Mergers/Shareholdings,4
Facility Closures,4
Workers Pay,4
Employment/Unemployment,4
Direct Taxation,4
Economic News,4
Bribery,4
Generational Cohorts,4
Discrimination,4
Domestic Violence,4
Food/Drink,4
