Subject,2016count
Crime/Legal Action,426
Page-One Stories,422
News Digests,363
Regional Politics,323
Domestic Politics,288
School,285
Education,282
Music,252
Murder/Manslaughter,231
Political/General News,205
Food/Drink,188
University/College,119
Elections,116
Charities/Philanthropy,101
National/Presidential Elections,97
Movies,89
Festivals,80
Concerts,78
Religion,77
Art,70
Transport Accidents,70
Management Moves,69
Burglary/Theft,69
Law Enforcement,67
Government Budget/Taxation,65
Transport,65
Urban Planning/Development,64
Sub-National/Local Budget/Taxation,61
Books,61
Robbery,60
Theater,59
Interviews,52
Senior Level Management,50
Sex Crimes,46
Assault,44
Plans/Strategy,42
Celebrities,41
Television/Radio,41
Civil Unrest,40
Upper House,40
Sales Tax,38
Reviews,38
Building Fires/Explosions/Collapses,37
Natural Environment,32
Health,32
Facility Openings,29
Drought,29
Terrorism,28
Corporate Crime/Legal Action,27
Commentaries/Opinions,27
Arts/Entertainment,26
Human Rights/Civil Liberties,26
Social Issues,26
Pricing,25
Travel,25
Art Reviews (Discontinued from 13th September 2016),25
Land Use,24
Living/Lifestyle,24
Migration,23
Housing Prices,22
Dance/Ballet,22
Restaurant/Bar Reviews (Discontinued from 10th May 2016),22
Judicial Branch,22
Surveys/Polls,22
Home Sales/Housing Affordability,21
Real Estate Markets,21
Air/Water/Land Quality,21
Weather,19
Headquarters Relocation,18
Partnerships/Collaborations,18
Facility Closures,18
Economic Performance/Indicators,18
Employment/Unemployment,18
Cancer,18
Child Abuse,18
Traffic Violations,18
Columns,18
Affordable Housing,17
Accidents/Man-made Disasters,17
Generational Cohorts,16
Drug Trafficking/Dealing,16
Homelessness,16
General Labor Issues,16
Legislative Branch,16
Beer (Discontinued from 10th January 2017),15
Death Penalty/Capital Punishment,15
Fraud,15
Acquisitions/Mergers/Shareholdings,14
Recruitment,14
Workplace Discrimination,14
Storms,14
Workers Pay,13
Nutrition,13
Racism,13
Wine/Beer/Spirits,13
Regulation/Government Policy,12
Discrimination,12
Opera,12
Photography,12
Sexuality,12
