Occupation (SOC code),Employment(1),Hourly 10th percentile wage,Hourly median wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs"
All Occupations(000000),2553370,8.72,17.94,47.33,18130,98440,1000
Management Occupations(110000),166550,23.45,51.61,-,48770,-,65.228
Chief Executives(111011),4890,50.33,-,-,104690,-,1.915
General and Operations Managers(111021),60130,21.08,49.87,-,43850,-,23.549
Legislators(111031),850,-,-,-,16030,42550,0.333
Advertising and Promotions Managers(112011),660,21.6,47.67,99.75,44920,207490,0.257
Marketing Managers(112021),6270,35.02,61.15,99.73,72850,207430,2.454
Sales Managers(112022),11860,28.22,58.3,-,58690,-,4.646
Public Relations and Fundraising Managers(112031),1240,31.14,50.59,92.27,64760,191930,0.487
Administrative Services Managers(113011),6200,20.16,41.82,78.29,41930,162850,2.427
Computer and Information Systems Managers(113021),10620,39.91,63.68,97.1,83020,201970,4.158
Financial Managers(113031),12730,35.14,64.58,-,73090,-,4.986
Industrial Production Managers(113051),2500,27.08,43.68,72.56,56330,150930,0.978
Purchasing Managers(113061),1310,33.39,55.12,85.37,69460,177580,0.512
"Transportation, Storage, and Distribution Managers(113071)",2970,26.41,47.25,77.54,54930,161290,1.162
Compensation and Benefits Managers(113111),390,35.27,62.13,-,73360,-,0.152
Human Resources Managers(113121),3870,31.68,50.99,97.27,65900,202310,1.515
Training and Development Managers(113131),950,28.17,53.48,85.53,58590,177900,0.37
Construction Managers(119021),4190,26.74,46.74,78.24,55620,162730,1.64
"Education Administrators, Preschool and Childcare Center/Program(119031)",1190,12.22,17.47,37.29,25420,77550,0.465
"Education Administrators, Elementary and Secondary School(119032)",4570,-,-,-,65880,126700,1.791
"Education Administrators, Postsecondary(119033)",1420,27.51,43.25,81.98,57230,170520,0.556
"Education Administrators, All Other(119039)",-,24.7,39.34,58.94,51370,122600,-
Architectural and Engineering Managers(119041),3250,41.4,62.25,93.67,86110,194830,1.273
Food Service Managers(119051),4750,11.86,21.18,35.16,24670,73140,1.858
Funeral Service Managers(119061),140,22.83,35.06,76.57,47490,159250,0.056
Lodging Managers(119081),340,20.53,30.73,62,42700,128960,0.133
Medical and Health Services Managers(119111),3990,24.46,46.63,94.64,50880,196860,1.564
Natural Sciences Managers(119121),770,28.97,50.94,78.21,60260,162670,0.301
Postmasters and Mail Superintendents(119131),120,30.7,37.81,46.61,63850,96960,0.046
"Property, Real Estate, and Community Association Managers(119141)",3780,19.59,32.68,86.51,40740,179930,1.481
Social and Community Service Managers(119151),1270,19.96,32.02,50.06,41510,104130,0.498
Emergency Management Directors(119161),160,24.26,37.78,71.9,50460,149540,0.061
"Managers, All Other(119199)",8510,31.31,53.52,85.54,65120,177920,3.334
Business and Financial Operations Occupations(130000),167020,17,31.25,57.9,35360,120440,65.413
"Agents and Business Managers of Artists, Performers, and Athletes(131011)",170,13.46,26.61,68.82,27990,143150,0.068
"Buyers and Purchasing Agents, Farm Products(131021)",290,20.53,30.12,58.31,42710,121280,0.113
"Wholesale and Retail Buyers, Except Farm Products(131022)",1920,14.67,28.78,55.27,30520,114960,0.752
"Purchasing Agents, Except Wholesale, Retail, and Farm Products(131023)",5150,19.03,29.91,47.69,39570,99190,2.016
"Claims Adjusters, Examiners, and Investigators(131031)",5970,17.4,28,44.82,36200,93230,2.339
"Insurance Appraisers, Auto Damage(131032)",360,21.34,31.37,47.93,44400,99690,0.143
Compliance Officers(131041),5080,15.61,28.08,48.22,32470,100290,1.991
Cost Estimators(131051),3850,15.96,29.19,48.53,33200,100940,1.506
