,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Population1,4402455,4489288,4572541,4659574,4770870,4931848,5066356,5170099,5240828,5286728,5373558,5452145,5517230,5605765,5699050,5789700
Annual Net Population Gain,139320,86833,83253,87033,111296,160978,134508,103743,70729,45900,86830,78587,65085,88535,93285,90650
Annual Growth Rate,3.3%,2%,1.9%,1.9%,2.4%,3.4%,2.7%,2%,1.4%,0.9%,1.6%,1.5%,1.2%,1.6%,1.7%,1.6%
Labor Force2,2418824,2448419,2467460,2501541,2584601,2662151,2740478,2777683,2722616,2720044,2760194,2791482,2791868,2809202,2836322,2938612
Employment2,2329891,2324880,2347173,2382163,2445674,2538141,2618825,2606822,2452057,2440037,2486895,2546478,2574339,2619867,2677863,2788476
Unemployment Rate2,3.7%,5%,4.9%,4.8%,5.4%,4.7%,4.4%,6.2%,9.9%,10.3%,9.9%,8.8%,7.8%,6.7%,5.6%,5.1%
Nonagricultural Employment2,2310500,2268300,2245400,2275500,2345100,2411200,2460200,2433400,2297000,2276100,2311700,2354300,2414300,2503400,2582100,2667800
Annual Net Job Creation2,10900,-42200,-22900,30100,69600,66100,49000,-26800,-136400,-20900,35600,42600,60000,89100,78700,85700
Annual Growth Rate,0.5%,-1.8%,-1%,1.3%,3.1%,2.8%,2%,-1.1%,-5.6%,-0.9%,1.6%,1.8%,2.5%,3.7%,3.1%,3.3%
Total Establishments3,121961,129092,131795,135688,138629,142249,144554,148923,146302,145017,148235,151687,155246,159840,164253,tbd
Gross Domestic Product (billions)4,$213.3,$219.1,$226.1,$236.9,$253.7,$266.3,$280.3,$279.5,$271.1,$274.9,$282.7,$294.1,$305.3,$322.0,$339.2,tbd
Total Personal Income (billions)4,$153.0,$155.9,$161.3,$171.6,$183.8,$199.8,$208.2,$207.2,$202.7,$205.5,$221.0,$224.6,$228.2,$244.2,$257.5,tbd
Per Capita Personal Income4,"$34,758","$34,721","$35,279","$36,830","$38,535","$40,318","$41,104","$40,080","$38,680","$38,739","$41,124","$41,164","$41,309","$43,493","$45,092",tbd
Bank Deposits (billions)5,$58.9,$63.8,$75.9,$80.8,$94.7,$109.6,$113.6,$117.5,$114.8,$110.8,$115.9,$121.2,$123.6,$132.6,$146.1,$156.2
Total Housing Units Authorized by Building,,,,,,,,,,,,,,,,
Permits6,65268,66551,66377,74457,72223,68240,44686,19034,6509,7627,8692,14356,24297,26431,30011,36121
Single Family,48423,50151,55033,57727,60952,53944,31121,12307,5397,6436,6239,9146,14824,16935,19885,22931
Multi-Family & Apartments,16845,16400,11344,16730,11271,14296,13565,6727,1112,1191,2453,5210,9473,9496,10126,13190
