Agency,Date,Topic,Review
Department of Health and Human Services,"Jan 9, 2017",Health Care,"To help ensure that quality care is provided to AI/AN people, as part of the implementation of its quality framework, the Secretary of HHS should direct the Director of IHS to ensure that agency-wide standards for the quality of care provided in its federally operated facilities are developed, that facility performance in meeting these standards is systematically monitored over time, and that enhancements are made to its adverse event reporting system."
Department of Veterans Affairs,"Jan 9, 2017",Health Care,"To improve the capacity of HR functions at VA medical centers, the Secretary of Veterans Affairs should instruct the Under Secretary for Health to establish clear lines of authority that provide the Assistant Deputy Under Secretary for Health for Workforce Service the ability to oversee and hold medical center HR offices accountable for implementing initiatives to improve HR processes within HR offices as well as monitoring and reporting on the results of these initiatives."
Department of Health and Human Services,"Dec 16, 2016",Health Care,"To help ensure that FDA's foreign offices are able to fully meet their mission of helping to ensure the safety of imported products, as the agency continues to test performance measures and evaluate its Office of International Programs (OIP) strategic workforce plan, the Commissioner of FDA should assess the effectiveness of the foreign offices' contributions by systematically tracking information to measure whether the offices' activities specifically contribute to drug safety-related outcomes, such as inspections, import alerts, and warning letters."
Department of Veterans Affairs,"Dec 2, 2016",Health Care,"To improve care for women veterans, the Secretary of Veterans Affairs should direct the Under Secretary for Health to monitor women veterans' access to key sex-specific care services--mammography, maternity care, and gynecology--under current and future community care contracts. For those key services, monitoring should include an examination of appointment scheduling and completion times, driving times to appointments, and reasons appointments could not be scheduled with community providers."
Department of Veterans Affairs,"Sep 19, 2016",Health Care,"In order to ensure that veterans receive quality care from qualified physicians, the Secretary of Veterans Affairs should direct the Under Secretary for Health to develop and implement a comprehensive oversight strategy that includes ongoing monitoring and evaluations of the contractors' verification of PC3 and Choice physicians' credentials, as well as VHA staff's review of Choice physicians. VHA's oversight should include reviewing documentation and assessing whether the contractors' plans for improving their processes for Choice credentials verification are effective."
Department of Health and Human Services,"Jun 30, 2016",Health Care,"To ensure efficient use of federal resources, the Administrator of CMS should improve alignment of Medicare UC payments with hospital uncompensated care costs by basing these payments on hospital uncompensated care costs."
Department of Veterans Affairs,"May 11, 2016",Health Care,Veterans' Health Care: Proper Plan Needed to Modernize System for Paying Community Providers
Department of Health and Human Services,"Apr 22, 2016",Health Care,Medicaid Program Integrity: Improved Guidance Needed to Better Support Efforts to Screen Managed Care Providers
Department of Health and Human Services,"Apr 13, 2016",Health Care,Medicare: Claim Review Programs Could Be Improved with Additional Prepayment Reviews and Better Data
Department of Health and Human Services,"Mar 29, 2016",Health Care,Indian Health Service: Actions Needed to Improve Oversight of Patient Wait Times
Department of Veterans Affairs,"Mar 18, 2016",Health Care,VA Health Care: Actions Needed to Improve Newly Enrolled Veterans' Access to Primary Care
Department of Labor,"Mar 17, 2016",Health Care,Workplace Safety and Health: Additional Efforts Needed to Help Protect Health Care Workers from Workplace Violence
Department of the Interior,"Mar 10, 2016",Health Care,Indian Affairs: Key Actions Needed to Ensure Safety and Health at Indian School Facilities
Department of Health and Human Services,"Feb 23, 2016",Health Care,Patient Protection and Affordable Care Act: CMS Should Act to Strengthen Enrollment Controls and Manage Fraud Risk
Department of Health and Human Services,"Feb 5, 2016",Health Care,Medicaid: Federal Guidance Needed to Address Concerns About Distribution of Supplemental Payments
Department of Health and Human Services,"Oct 16, 2015",Health Care,Medicaid: Additional Efforts Needed to Ensure that State Spending is Appropriately Matched with Federal Funds
Department of Veterans Affairs,"Sep 30, 2015",Health Care,VA Health Care: Oversight Improvements Needed for Nurse Recruitment and Retention Initiatives
