titles,type,Office/Agency,
Fiscal Year 2018 Budget Request: U.S. Government Accountability Office,Budget Request,GAO,2017
Inspectors General: Improvements Needed to IG Oversight of Architect of the Capitol Operations,Recommendation,Architect of the Capitol,2017
Architect of the Capitol's Oversight of the Senate Food Service Contract,Update,Architect of the Capitol,2017
"Capitol Police Board: Fully Incorporating Leading Governance Practices Would Help Enhance Accountability, Transparency, and External Communication",Recommendation,Capitol Police,2017
"GAO: Summary of Performance and Financial Information, Fiscal Year 2016",Update,GAO,2017
The Nation's Fiscal Health: Action is Needed to Address the Federal Government's Fiscal Future,Recommendation,Congress,2017
State and Local Governments' Fiscal Outlook: 2016 Update,Update,Congress,2016
Inspectors General: Improvements to IG Oversight Needed for Architect of the Capitol Operations,Recommendation,Architect of the Capitol,2016
"Architect of the Capitol: Contracting Function Generally Follows Key Practices, but Certain Improvements Are Needed",Recommendation,Architect of the Capitol,2016
Library Services for Those with Disabilities: Additional Steps Needed to Ease Access to Services and Modernize Technology,Recommendation,Library of Congress,2016
Small Employer Health Tax Credit: Limited Use Continues Due to Multiple Reasons,Update,Congress,2016
Fiscal Year 2017 Budget Request: U.S. Government Accountability Office,Budget Request,GAO,2016
Fiscal Year 2017 Budget Request: U.S. Government Accountability Office,Budget Request,GAO,2016
Credit Reform: Current Method to Estimate Credit Subsidy Costs Is More Appropriate for Budget Estimates Than a Fair Value Approach,Update,Congress,2016
State and Local Governments' Fiscal Outlook: 2015 Update,Update,Congress,2015
Information Technology: Library of Congress Needs to Implement Recommendations to Address Management Weaknesses,Recommendation,Library of Congress,2015
Highlights of a Forum: Preparing for Climate-Related Risks: Lessons from the Private Sector,Summary,GAO,2015
Performance and Accountability Report Fiscal Year 2015,Budget Request,GAO,2015
Patient Protection and Affordable Care Act: Preliminary Results of Undercover Testing of the Federal Marketplace and Selected State Marketplaces for Coverage Year 2015,Update,Congress,2015
Senate Stationery Room Revolving Fund: Audit of Fiscal Year 2014 Cash Receipts and Disbursements,Audit,Congress,2015
Senate Gift Shop Revolving Fund: Audit of Fiscal Year 2014 Cash Receipts and Disbursements,Audit,Congress,2015
Capitol Power Plant: Architect of the Capitol Should Update Its Long-term Energy Plan before Committing to Major Energy Projects,Recommendation,Architect of the Capitol,2015
Senate Office of Public Records Revolving Fund: Audit of Fiscal Year 2014 Cash Receipts,Audit,Congress,2015
Independent Auditor's Report on Applying Agreed-Upon Procedures: Senate Disbursing Office 2015 Cash Count,Audit,Congress,2015
