Infant Deaths, Infant Mortality Rate by Residence
		2014	2014	2015	2015	2016	2016	Selected Years Total	Selected Years Total
		Infant Deaths	Infant Mortality Rate	Infant Deaths	Infant Mortality Rate	Infant Deaths	Infant Mortality Rate	Infant Deaths	Infant Mortality Rate

Appling	2 	* 	1 	* 	2 	* 	5 	6.7 	

Atkinson	 	0.0 	1 	* 	1 	* 	2 	* 	

Bacon	1 	* 	1 	* 	2 	* 	4 	* 	

Baker	 	0.0 	1 	* 	 	0.0 	1 	* 	

Baldwin	3 	* 	6 	12.6 	6 	15.1 	15 	11.4 	

Banks	1 	* 	2 	* 	3 	* 	6 	9.9 	

Barrow	6 	5.9 	8 	7.5 	1 	* 	15 	4.8 	

Bartow	7 	5.2 	18 	14.0 	8 	5.9 	33 	8.2 	

Ben Hill	4 	* 	5 	21.1 	4 	* 	13 	18.4 	

Berrien	1 	* 	1 	* 	2 	* 	4 	* 	

Bibb	34 	15.1 	38 	17.7 	22 	11.0 	94 	14.7 	

Bleckley	 	0.0 	3 	* 	1 	* 	4 	* 	

Brantley	1 	* 	2 	* 	1 	* 	4 	* 	

Brooks	3 	* 	1 	* 	1 	* 	5 	8.7 	

Bryan	2 	* 	1 	* 	4 	* 	7 	4.5 	

Bulloch	8 	8.8 	9 	10.1 	5 	5.6 	22 	8.2 	

Burke	4 	* 	4 	* 	3 	* 	11 	11.4 	

Butts	5 	20.3 	2 	* 	1 	* 	8 	10.7 	

Calhoun	 	0.0 	2 	* 	 	0.0 	2 	* 	

Camden	6 	7.9 	1 	* 	6 	7.7 	13 	5.6 	

Candler	1 	* 	2 	* 	 	0.0 	3 	* 	

Carroll	13 	8.7 	8 	5.5 	7 	4.5 	28 	6.2 	

Catoosa	1 	* 	2 	* 	4 	* 	7 	3.2 	

Charlton	 	0.0 	 	0.0 	 	0.0 	 	0.0 	

Chatham	30 	7.5 	37 	9.0 	29 	7.4 	96 	8.0 	

Chattahoochee	2 	* 	 	0.0 	1 	* 	3 	* 	

Chattooga	3 	* 	1 	* 	3 	* 	7 	7.8 	

Cherokee	12 	4.2 	9 	3.2 	15 	5.2 	36 	4.2 	

Clarke	13 	9.8 	8 	5.9 	7 	5.2 	28 	6.9 	

Clay	1 	* 	 	0.0 	 	0.0 	1 	* 	

Clayton	39 	9.2 	35 	8.1 	41 	9.4 	115 	8.9 	

Clinch	1 	* 	6 	58.3 	 	0.0 	7 	23.6 	

Cobb	57 	5.9 	66 	7.0 	59 	6.3 	182 	6.4 	

Coffee	4 	* 	8 	14.5 	6 	10.1 	18 	10.2 	

Colquitt	5 	7.4 	4 	* 	5 	7.6 	14 	7.2 	

Columbia	15 	8.7 	14 	7.8 	21 	10.8 	50 	9.2 	

Cook	3 	* 	 	0.0 	 	0.0 	3 	* 	

Coweta	14 	8.2 	8 	5.0 	8 	4.9 	30 	6.1 	

Crawford	3 	* 	 	0.0 	 	0.0 	3 	* 	

Crisp	6 	21.1 	10 	31.0 	2 	* 	18 	20.2 	

Dade	1 	* 	2 	* 	2 	* 	5 	10.4 	

Dawson	4 	* 	 	0.0 	3 	* 	7 	9.8 	

Decatur	6 	17.5 	2 	* 	4 	* 	12 	10.9 	

DeKalb	91 	8.3 	83 	7.4 	73 	6.6 	247 	7.5 	

