Number of Births, Birth Rate by Residence
		2014	2014	2015	2015	2016	2016	Selected Years Total	Selected Years Total
		 Number of Births	 Birth Rate	 Number of Births	 Birth Rate	 Number of Births	 Birth Rate	 Number of Births	 Birth Rate

Appling	246 	46.7 	272 	52.2 	231 	44.7 	749 	47.9 	

Atkinson	128 	51.3 	142 	55.8 	119 	47.0 	389 	51.4 	

Bacon	146 	43.3 	157 	46.8 	146 	43.5 	449 	44.5 	

Baker	40 	43.3 	27 	29.6 	32 	36.0 	99 	36.4 	

Baldwin	447 	30.9 	475 	33.6 	397 	28.7 	1,319 	31.1 	

Banks	209 	38.7 	221 	41.1 	176 	33.4 	606 	37.8 	

Barrow	1,011 	43.3 	1,065 	44.3 	1,050 	42.8 	3,126 	43.5 	

Bartow	1,356 	42.2 	1,290 	40.0 	1,355 	41.8 	4,001 	41.3 	

Ben Hill	242 	47.4 	237 	46.9 	226 	44.9 	705 	46.4 	

Berrien	274 	50.1 	248 	44.8 	248 	45.1 	770 	46.7 	

Bibb	2,252 	46.4 	2,148 	44.6 	2,004 	42.1 	6,404 	44.3 	

Bleckley	146 	35.7 	118 	31.6 	140 	33.8 	404 	33.8 	

Brantley	206 	37.0 	230 	41.5 	235 	43.0 	671 	40.5 	

Brooks	202 	46.8 	186 	43.5 	188 	43.8 	576 	44.7 	

Bryan	530 	48.3 	510 	44.4 	521 	44.1 	1,561 	45.5 	

Bulloch	907 	36.1 	895 	35.6 	893 	34.6 	2,695 	35.4 	

Burke	329 	47.3 	319 	46.1 	320 	46.7 	968 	46.7 	

Butts	246 	38.7 	246 	39.0 	254 	40.1 	746 	39.3 	

Calhoun	45 	30.2 	55 	37.2 	43 	30.7 	143 	32.8 	

Camden	756 	47.7 	795 	51.1 	776 	49.8 	2,327 	49.5 	

Candler	136 	43.5 	139 	44.5 	131 	41.7 	406 	43.2 	

Carroll	1,491 	40.3 	1,449 	39.2 	1,547 	41.3 	4,487 	40.3 	

Catoosa	728 	36.5 	727 	36.4 	711 	35.6 	2,166 	36.2 	

Charlton	111 	37.7 	117 	39.8 	114 	39.3 	342 	38.9 	

Chatham	3,988 	44.1 	4,102 	45.0 	3,921 	42.8 	12,011 	44.0 	

Chattahoochee	246 	97.5 	206 	88.1 	188 	83.3 	640 	89.9 	

Chattooga	297 	43.0 	312 	45.4 	284 	41.6 	893 	43.3 	

Cherokee	2,842 	38.3 	2,791 	37.0 	2,876 	37.6 	8,509 	37.6 	

Clarke	1,333 	29.8 	1,354 	29.4 	1,352 	29.4 	4,039 	29.6 	

Clay	36 	44.3 	27 	34.3 	37 	47.7 	100 	42.1 	

Clayton	4,234 	45.3 	4,341 	45.4 	4,356 	44.9 	12,931 	45.2 	

Clinch	104 	51.5 	103 	51.1 	90 	44.6 	297 	49.1 	

Cobb	9,658 	39.3 	9,463 	38.2 	9,382 	37.7 	28,503 	38.4 	

Coffee	614 	47.9 	550 	43.1 	593 	46.9 	1,757 	45.9 	

Colquitt	673 	49.4 	609 	45.1 	660 	48.8 	1,942 	47.8 	

Columbia	1,726 	38.2 	1,785 	38.5 	1,945 	41.4 	5,456 	39.4 	

Cook	228 	43.3 	216 	41.2 	208 	39.6 	652 	41.4 	

Coweta	1,705 	38.9 	1,595 	35.8 	1,634 	36.4 	4,934 	37.0 	

Crawford	143 	40.6 	119 	34.5 	108 	32.0 	370 	35.8 	

Crisp	284 	41.5 	323 	48.0 	283 	42.2 	890 	43.9 	

Dade	151 	30.9 	169 	35.2 	160 	33.5 	480 	33.2 	

Dawson	225 	33.9 	237 	35.7 	251 	38.0 	713 	35.9 	

Decatur	342 	41.9 	377 	47.0 	384 	48.5 	1,103 	45.8 	

DeKalb	10,943 	44.8 	11,182 	45.2 	11,021 	44.5 	33,146 	44.8 	

Dodge	228 	39.7 	229 	40.3 	210 	37.4 	667 	39.1 	

Dooly	94 	25.5 	108 	29.8 	113 	32.4 	315 	29.2 	

Dougherty	1,272 	42.4 	1,198 	40.7 	1,242 	42.9 	3,712 	42.0 	

Douglas	1,647 	34.8 	1,857 	38.6 	1,674 	34.5 	5,178 	36.0 	

Early	124 	39.9 	145 	46.4 	121 	40.0 	390 	42.1 	

Echols	56 	45.2 	58 	46.4 	52 	42.9 	166 	44.9 	

Effingham	731 	40.6 	790 	42.8 	792 	42.2 	2,313 	41.9 	

Elbert	220 	39.6 	211 	38.6 	231 	43.4 	662 	40.5 	

Emanuel	329 	50.0 	303 	46.3 	293 	45.5 	925 	47.3 	

Evans	142 	43.6 	140 	43.8 	150 	47.7 	432 	45.0 	

