name
"Giovanni Francesco Anerio, Renaissance"
"Gianmatteo Asola, Renaissance"
"Giulio Belli, Renaissance"
"Antoine Brumel, Renaissance"
"Manuel Cardoso, Renaissance"
"Joan Cererols, Renaissance"
"Pierre Certon, Renaissance"
"Clemens non Papa, Renaissance"
"Guillaume Dufay, Renaissance"
"Pedro de Escobar, Renaissance"
"Antoine de Févin, Renaissance"
"Francisco Guerrero, Renaissance"
"Jacobus de Kerle, Renaissance"
"Orlande de Lassus, Renaissance"
"Duarte Lobo, Renaissance"
"Jean Maillard, Renaissance"
"Jacques Mauduit, Renaissance"
"Manuel Mendes, Renaissance"
"Cristóbal de Morales, Renaissance"
"Johannes Ockeghem, Renaissance"
"Giovanni Pierluigi da Palestrina, Renaissance"
"Costanzo Porta, Renaissance"
"Johannes Prioris, Renaissance"
"Jean Richafort, Renaissance"
"Pedro Rimonte, Renaissance"
"Pierre de la Rue, Renaissance"
"Claudin de Sermisy, Renaissance"
"Jacobus Vaet, Renaissance"
"Tomás Luis de Victoria, Renaissance"
"Heinrich Ignaz Franz von Biber, Baroque"
"André Campra, Baroque"
"Marc-Antoine Charpentier, Baroque"
"Johann Joseph Fux, Baroque"
"Jean Gilles, Baroque"
"Antonio Lotti (Requiem in F Major), Baroque"
"Benedetto Marcello (Requiem in the Venetian Manner), Baroque"
"Claudio Monteverdi (lost), Baroque"
"Michael Praetorius, Baroque"
"Heinrich Schütz, Baroque"
"Andrzej Siewiński, Baroque"
"Jan Dismas Zelenka, Baroque"
"Luigi Cherubini, Classical"
"Domenico Cimarosa, Classical"
"Carl Ditters von Dittersdorf, Classical"
"Joseph Leopold Eybler, Classical"
"Florian Leopold Gassmann, Classical"
"François-Joseph Gossec, Classical"
"Johann Adolf Hasse, Classical"
"Michael Haydn, Classical"
"Georg von Pasterwitz, Classical"
"Joseph Martin Kraus, Classical"
"Andrea Lucchesi, Classical"
"Giovanni Battista Martini, Classical"
"Wolfgang Amadeus Mozart, Classical"
"José Maurício Nunes Garcia, Classical"
"Ignaz Pleyel, Classical"
"Antonio Salieri, Classical"
"Osip Kozlovsky, Classical"
"Hector Berlioz, Romantic"
"João Domingos Bomtempo, Romantic"
"Johannes Brahms, Romantic"
"Anton Bruckner, Requiem in D minor[4], Romantic"
"Ferruccio Busoni, Romantic"
"Carl Czerny, Romantic"
"Gaetano Donizetti, Romantic"
"Antonín Dvořák, Romantic"
"Gabriel Fauré, Romantic"
"Charles Gounod, Romantic"
"Franz Lachner, Romantic"
"Franz Liszt, Romantic"
"Giacomo Puccini [Introit only], Romantic"
"Max Reger Hebbel Requiem, Lateinisches Requiem (fragment), Romantic"
"Antonín Rejcha, Romantic"
"Camille Saint-Saëns, Romantic"
"Robert Schumann, Romantic"
"Franz von Suppé, Romantic"
"Charles Villiers Stanford, Romantic"
"Giuseppe Verdi, Romantic"
"Richard Wetz, Romantic"
"See also: Messa per Rossini, Romantic"
"Mark Alburger, 20th Century"
"Malcolm Archer, 20th Century"
"Vyacheslav Artyomov, 20th Century"
"John Baboukis’s Requiem Mass for G.K. Chesterton (1986)[5], 20th Century"
"Osvaldas Balakauskas, 20th Century"
"Benjamin Britten, 20th Century"
"Sylvano Bussotti's ""Rara Requiem"" (1969), 20th Century"
"Michel Chion, 20th Century"
"Vladimir Dashkevich, 20th Century"
"Stephen DeCesare's ""Requiem"", 20th Century"
"James DeMars: An American Requiem, 20th Century"
"Edison Denisov, 20th Century"
"Alfred Desenclos (1963), 20th Century"
"Felix Draeseke (1910), 20th Century"
"Ralph Dunstan, 20th Century"
"Maurice Duruflé, 20th Century"
"Lorenzo Ferrero's Introito, part of the Requiem per le vittime della mafia, 20th Century"
"Gerald Finzi's Requiem da camera, 20th Century"
"John Foulds ""A World Requiem"", 20th Century"
"Howard Goodall's ""Eternal Light: A Requiem"", 20th Century"
"William Harper ""Requiem""[6], 20th Century"
"Hans Werner Henze, 20th Century"
"Frigyes Hidas, 20th Century"
"Herbert Howells, 20th Century"
"Sigurd Islandsmoen, 20th Century"
"Karl Jenkins, 20th Century"
"Dmitry Kabalevsky (1962), 20th Century"
"Volker David Kirchner, 20th Century"
"Ståle Kleiberg, 20th Century"
"Joonas Kokkonen, 20th Century"
"Cyrillus Kreek, 20th Century"
"Huub de Lange, 20th Century"
"Morten Lauridsen ""Lux Aeterna"", 20th Century"
"Philip Ledger, 20th Century"
"Kamilló Lendvay, 20th Century"
"György Ligeti (1965), 20th Century"
"Nils Lindberg, 20th Century"
"Andrew Lloyd Webber, 20th Century"
"Fernando Lopes-Graça, 20th Century"
"Roman Maciejewski, 20th Century"
"Bruno Maderna (1946), 20th Century"
"Frank Martin, 20th Century"
"Jean-Christian Michel, 20th Century"
"Otto Olsson (1903), 20th Century"
"Ildebrando Pizzetti (1968), 20th Century"
"Jocelyn Pook, 20th Century"
"Zbigniew Preisner, 20th Century"
"Robert Rønnes, 20th Century"
"John Rutter (1985), 20th Century"
"Joseph Ryelandt, 20th Century"
"Shigeaki Saegusa, 20th Century"
"Alfred Schnittke, 20th Century"
"Giovanni Sgambati (1901), 20th Century"
"Valentin Silvestrov, 20th Century"
"Fredrik Sixten, 20th Century"
"Robert Steadman, 20th Century"
"Igor Stravinsky, 20th Century"
"Toru Takemitsu, 20th Century"
"John Tavener, 20th Century"
"Virgil Thomson, 20th Century"
"Erkki-Sven Tüür, 20th Century"
"Malcolm Williamson, 20th Century"
"Bernd Alois Zimmermann: Requiem für einen jungen Dichter (1969), 20th Century"
"John Starr Alexander ""Requiem"" 2001, 21st Century"
"Lera Auerbach ""Russian Requiem"", 21st Century"
"Leonardo Balada, 21st Century"
"Troy Banarzi, 21st Century"
"Virgin Black, 21st Century"
"Jamie Brown ""A Cornish Requiem / Requiem Kernewek"", 21st Century"
"Paul Carr ""Requiem for an Angel"", 21st Century"
"Bob Chilcott[7], 21st Century"
"Richard Danielpour: ""An American Requiem"", 21st Century"
"Stephen DeCesare ""Missa De Profunctis"", 21st Century"
"Bradley Ellingboe, 21st Century"
"Mohammed Fairouz ""Requiem Mass"", 21st Century"
"Carlo Forlivesi, 21st Century"
"Eliza Gilkyson, arr. by Craig Hella Johnson ""Requiem"", 21st Century"
"Howard Goodall ""Eternal Light"", 21st Century"
"Steve Gray ""Requiem For Choir and Big Band"", 21st Century"
"Patrick Hawes ""Lazarus Requiem""[8], 21st Century"
"Tyzen Hsiao, 21st Century"
"Karl Jenkins ""The Armed Man"" (2000) & ""Requiem"" (2004), 21st Century"
"Rami Khalifé (2013), 21st Century"
"Iver Kleive, 21st Century"
"Fan-Long Ko, 21st Century"
"Thierry Lancino, 21st Century"
"György Ligeti (2006), 21st Century"
"Clint Mansell, (Theme from Requiem For A Dream aka 'Lux Aeterna'), 21st Century"
"Christopher Rouse, 21st Century"
"Carl Rütti, 21st Century"
"Keiki Kobayashi, (Theme from Ace Combat 04: Shattered Skies aka Megalith -Agnus Dei-), 21st Century"
"Kentaro Sato, 21st Century"
"Mattias Sköld, 21st Century"
"Somtow Sucharitkul, 21st Century"
"John Tavener (Heartbeat, aka 'Prayer of the Heart' written for Björk), 21st Century"
"Chris Williams ""Tsunami Requiem"", 21st Century"
"Mack Wilberg, 21st Century"
"David Crowder Band ""Give Us Rest"", 21st Century"
"António Pinho Vargas, 21st Century"
"Ehsan Saboohi ""Phonemes Requiem"" (2014-2015)[9], 21st Century"
