Name,Country,Period,Introit,Kyrie,Gradual,Tract,Sequence/Dies Irae,Offertory,Sanctus,Benedictus,Agnus Dei,Communion/lux aeterna,Lacrimosa,Pie Jesu,Libera Me,In Paradisum,Other Texts,Commissioned
Giovanni Francesco Anerio,Italy,Renaissance,1,1,,,1,1,1,1,1,1,,,1,,,
Gianmatteo Asola,Italy,Renaissance,1,1,,,1,1,1,,1,1,,1,,,,
Estavo de Brito,Brazil,Portugal,1,1,1,,,1,1,,1,,,,,,,
Giulio Belli,Italy,Renaissance,,,,,,,,,,,,,,,,
Antoine Brumel,,Renaissance,,,,,,,,,,,,,,,,
Eustache De Caurroy ,France,Renaissance,1,1,1,,,1,1,1,1,1,,,1,,,
Jacob Clement,Belgium,Renaissance,1,1,,1,,1,1,1,1,1,,,,,,
Juan Esquivel,Spain,Renaissance,1,1,,1,1,,,,1,1,1,,,,,
Manuel Cardoso,,Renaissance,,,,,,,,,,,,,,,,
Joan Cererols,,Renaissance,,,,,,,,,,,,,,,,
Pierre Certon,,Renaissance,,,,,,,,,,,,,,,,
Clemens non Papa,,Renaissance,,,,,,,,,,,,,,,,
Guillaume Dufay,,Renaissance,,,,,,,,,,,,,,,,
Pedro de Escobar,,Renaissance,,,,,,,,,,,,,,,,
Antoine de Févin,,Renaissance,,,,,,,,,,,,,,,,
Francisco Guerrero,Spain,Renaissance,1,1,1,1,,1,1,1,1,1,,,,,,
Jacobus de Kerle,Netherlands,Renaissance,1,1,1,,,1,1,1,1,1,,,,,,
Philippe De Monte,Belgium,Renaissance,1,1,1,,,1,1,1,1,1,,,,,,
Orlande de Lassus,Germany,Renaissance,1,1,,1,,1,1,,1,1,,,,,,
Duarte Lobo,,Renaissance,,,,,,,,,,,,,,,,
Jean Maillard,,Renaissance,,,,,,,,,,,,,,,,
Jacques Mauduit,,Renaissance,,,,,,,,,,,,,,,,
Manuel Mendes,Portugal,Renaissance,,,,,,,,,,,,,,,,lost 
Cristóbal de Morales,Spanish,Renaissance,1,1,1,,1,1,1,1,1,1,,,,,,
Johannes Ockeghem,Belgium,Renaissance,1,1,1,1,,1,,,,,,,,,,
Giovanni Pierluigi da Palestrina,Italy,Renaissance,1,1,1,1,,1,1,1,1,,,,,,,
Costanzo Porta,Italy,Renaissance,1,1,,,1,1,1,1,1,1,,,,,,
Johannes Prioris,Belgium,Renaissance,1,1,1,,,,1,,1,1,,,,,,
Jean Richafort,Belgium,Renaissance,1,1,1,,,1,1,,1,1,,,,,,
Pedro Rimonte,,Renaissance,,,,,,,,,,,,,,,,
Pierre de la Rue,Belgium,Renaissance,1,1,,1,,1,1,,1,1,,,,,,
Claudin de Sermisy,France,Renaissance,1,1,1,,,1,1,,1,1,,,,,,
Jacobus Vaet,France,Renaissance,1,1,,1,,1,1,,1,1,,,,,,
Joan Brudieu,France,Renaissance,1,1,1,,,1,1,1,1,,,,1,,,
Manuel Cardoo,Portugal,Renaissance,1,1,1,,,1,1,,1,1,,,,,,
Tomás Luis de Victoria,Spain,Renaissance,1,1,1,,,1,1,,1,1,,,1,,,
Heinrich Ignaz Franz von Biber,Austria,Baroque,1,1,,,1,1,1,1,1,,,,,,,
André Campra,France,Baroque,1,1,1,,,,1,,1,1,,,,,,
Marc-Antoine Charpentier,France,Baroque,1,,,,1,,1,1,1,,,,,,,
Johann Joseph Fux,Austria ,Baroque,,,,,,,,,,,,,,,,
Cristobal Galan,Italy,Baroque,1,1,1,,,1,1,,1,1,,,,,,
