State,population,men,women,total_runners,/thousandstatepop
CA,39255000,2049,952,3001,7.644886002
NY,8538000,1324,641,1965,23.01475755
TX,2768000,1055,493,1548,55.92485549
PA,12780000,842,390,1232,9.640062598
IL,12800000,771,353,1124,8.78125
OH,11610000,693,311,1004,8.647717485
FL,20610000,609,294,903,4.381368268
VA,8412000,564,281,845,10.04517356
CO,5541000,534,252,786,14.18516513
WA,7288000,465,247,712,9.769484083
UT,3051000,400,246,646,21.17338578
NC,1015000,499,232,731,72.01970443
MN,5520000,443,219,662,11.99275362
NJ,8944000,476,217,693,7.748211091
MI,9928000,516,208,724,7.292506044
MD,6016000,396,197,593,9.857047872
WI,5779000,392,185,577,9.984426371
CT,3576000,377,160,537,15.01677852
NH,1335000,324,158,482,36.10486891
OR,4093000,312,154,466,11.38529196
GA,10310000,317,145,462,4.481086324
AZ,6931000,270,127,397,5.727889193
TN,6651000,237,114,351,5.277401894
IN,6633000,267,107,374,5.638474295
MO,6093000,203,100,303,4.972919744
DC,681170,156,76,232,34.05904547
ME,1331000,186,75,261,19.6093163
SC,4961000,136,61,197,3.970973594
RI,1056000,136,58,194,18.37121212
IA,3135000,111,52,163,5.199362041
KY,4437000,138,48,186,4.192021636
NV,2940000,85,46,131,4.455782313
ID,1683000,93,46,139,8.2590612
KS,2907000,92,43,135,4.643962848
VT,624594,80,38,118,18.89227242
NE,1907000,85,36,121,6.345044573
AL,4863000,80,36,116,2.385358832
LA,4682000,88,35,123,2.627082443
OK,3924000,81,34,115,2.930682977
NM,3081000,65,29,94,3.050957481
AR,2988000,56,26,82,2.744310576
HI,1429000,37,21,58,4.058782365
DE,952065,47,21,68,7.142369481
AK,741894,52,21,73,9.839680601
MT,1043000,36,20,56,5.369127517
SD,865454,34,17,51,5.892860857
WV,1831000,41,15,56,3.058438012
MS,2989000,27,15,42,1.405152225
ND,757952,29,14,43,5.673182471
WY,585501,21,10,31,5.29461094
MA,6812000,4586,2467,11639,170.8602466
