Candidate Office Sought,Name to Appear on Ballot,Code,Precinct,Incumbent,Gender
Mayor,Keisha Lance Bottoms,30331,11C,,F
Mayor,Ceasar C. Mitchell,30310,04L,,M
Mayor,Kwanza Hall,30312,02G,,M
Mayor,Mary Norwood,30305,08M,,F
Mayor,John H. Eaves,30311,10I,,M
Mayor,Vincent Fort,30311,11R,,M
Mayor,Cathy Woolard,30316,05A2,,F
Mayor,Peter Aman,30342,07A,,M
Mayor,Rohit Ammanamanchi,30312,05J,,M
Mayor,Glenn S. Wrightson,30315,01E,,M
Mayor,Michael T. Sterling,30312,01E,,M
Mayor,Laban King,30309,08P,,M
Mayor,Carl A. Jackson,30306,04T,,M
City Council President,Felicia Moore,30318,09C,,F
City Council President,C.T. Martin,30311,10H2,,M
City Council President,Alex Wan,30324,06D,,M
"City Council Member, Post 1 At Large",Michael Julian Bond,30314,03T,X,M
"City Council Member, Post 1 At Large",Courtney D. English,30310,04G,,M
"City Council Member, Post 2 At Large",Matt Westmoreland,30309,06J,,M
"City Council Member, Post 2 At Large",Bret R. Williams,30306,06J,,M
"City Council Member, Post 2 At Large",Cory Ruth,30324,07M,,M
"City Council Member, Post 3 At Large",Andre Dickens,30318,09G,X,M
"City Council Member, District 1",Oz Hill,30312,01A,,M
"City Council Member, District 1",Bill Powell,30316,01B,,M
"City Council Member, District 1",Mo Ivory,30315,01E,,F
"City Council Member, District 1",Carla Smith,30316,1B,X,F
"City Council Member, District 1",Ron Aribo,30316,01B,,M
"City Council Member, District 2",Lauren Welsh,30307,02I,,F
"City Council Member, District 2",Zelda Jackson,30308,02B,,F
"City Council Member, District 2",Amir Farokhi,30308,02D,,M
"City Council Member, District 2",Stephon Ferguson,30312,02S,,M
"City Council Member, District 2",Nick Mulkey,30303,02B,,M
"City Council Member, District 3",Darrion Fletcher,30314,03E,,M
"City Council Member, District 3",Ivory Lee Young Jr.,30314,03G,X,M
"City Council Member, District 3",Ricky Brown,30314,03A,,M
"City Council Member, District 3",Greg Clay,30318,03P1A,,M
"City Council Member, District 4",Jason Dozier,30310,04V,,M
"City Council Member, District 4",Cleta Winslow,30310,04L,X,F
"City Council Member, District 4",Kimberly Parmer,30312,04L,,F
"City Council Member, District 4","DeBorah ""Sister"" Williams",30310,04L,,F
"City Council Member, District 4",MR Adassa,30310,04L,,M
"City Council Member, District 4",Nick Hess,30311,04S,,M
"City Council Member, District 4",Jonathan R. Whitfield,30314,04J,,M
"City Council Member, District 4",Christopher Brown,30310,04X1,,M
"City Council Member, District 4",Shawn Walton,30314,04A,,M
