Age,City,State,Age,Total Time,Gender
"» Kiplagat, Florence (KEN)",,,29,2:21:32,F
"» Kiplagat, Edna (KEN)",,,36,2:23:28,F
"» Kipketer, Valentine (KEN)",,,23,2:23:41,F
"» Rionoripo, Purity (KEN)",,,23,2:24:47,F
"» Melese, Yebrgual (ETH)",,,26,2:24:49,F
"» Baysa, Atsede (ETH)",,,29,2:28:53,F
"» Burla, Serena (USA)",Stafford,VA,34,2:30:40,F
"» Mierzejewska, Agnieszka (POL)",,,30,2:32:13,F
"» Crouch, Sarah (USA)",Moorehead,KY,27,2:33:48,F
"» Gray, Alia (USA)",Boulder,CO,27,2:34:00,F
"» Knowles, Laurie (USA)",Charlotte,NC,38,2:36:01,F
"» Ross, Freya (GBR)",,,33,2:37:50,F
"» Philbrook, Lauren (USA)",Auburn,AL,29,2:38:00,F
"» Chrisman, Caitlin (USA)",Mountain View,CA,30,2:38:47,F
"» Heckert, Kristen (USA)",Bolingbrook,IL,29,2:39:37,F
"» Polley, Emma (USA)",Seattle,WA,26,2:40:56,F
"» Scott, Amanda (USA)",Boulder,CO,28,2:42:45,F
"» Roman-Duval, Julia (USA)",Columbia,MD,34,2:42:49,F
"» Andre, Stephanie (USA)",Bixby,OK,33,2:43:07,F
"» Sawyer, Julie (USA)",Cardiff,CA,33,2:45:25,F
"» Ino, Mitsuko (JPN)",,,33,2:46:23,F
"» Ryan, Sophie (AUS)",,,29,2:46:56,F
"» Bauer, Caroline (USA)",Columbia,MD,33,2:47:17,F
"» Mendoza, Salome (BOL)",Cochabamba,,27,2:47:40,F
"» Anderson, Mallory (USA)",New York,NY,25,2:47:41,F
"» Snyder, Kati (USA)",Chicago,IL,33,2:48:12,F
"» Drynan, Allison (CAN)",Toronto,ON,40,2:48:50,F
"» Kelly, Harriott (USA)",New York,NY,29,2:49:19,F
"» Maranzano, Jennifer (USA)",Washington,DC,44,2:49:21,F
"» Selert Faraud, Kir (USA)",Brooklyn,NY,29,2:49:30,F
"» Lockyer, Karen (NZL)",Tyler,TX,38,2:49:40,F
"» Jaswell, Megan (USA)",East Hampton,CT,29,2:49:41,F
"» Kersjes, Lauren (USA)",Downers Grove,IL,24,2:49:52,F
"» Steinbacher, Dani (USA)",Ann Arbor,MI,31,2:50:08,F
"» Cook, Dani (USA)",Fort Collins,CO,31,2:50:13,F
"» Michmerhuizen, Nicole (USA)",Ann Arbor,MI,24,2:50:18,F
"» Norbo, Carter (USA)",Charlottesville,VA,26,2:50:57,F
"» Johannsen, Denise (GER)",Cham,,32,2:51:05,F
"» Delvo, Emily (USA)",Springfield,IL,23,2:51:56,F
"» Hernandez, Cibelle (MEX)",Mexico,DF,43,2:52:32,F
"» Laughner, Kelby (USA)",Indianapolis,IN,24,2:52:45,F
"» Perkins, Lauren (USA)",Brooklyn,NY,34,2:52:48,F
"» Burke, Betsy (USA)",Charlestown,MA,32,2:53:01,F
"» Belyavin, Julia (GBR)",Bristol,Avon,37,2:53:30,F
"» Crowe, Heather (USA)",Palatine,IL,25,2:53:35,F
"» Moody, Tera (USA)",Chicago,IL,35,2:53:40,F
"» Martz, Marissa (USA)",Grand Rapids,MI,25,2:53:54,F
"» Cieslak, Kylen (USA)",Chicago,IL,28,2:54:09,F
"» Wang, Alex (USA)",Ellicott City,MD,24,2:54:17,F
"» Begue, Gwenaelle (FRA)",Muncie,IN,30,2:54:42,F
"» Birth, Carrie (USA)",Scottsdale,AZ,34,2:54:55,F
"» Beckwith, Christina (USA)",Chicago,IL,30,2:55:07,F
"» Mcguire, Jessica (USA)",Arlington,VA,36,2:55:24,F
"» Kitayama, Dina (USA)",Orinda,CA,27,2:55:30,F
"» Coogan, Laura (USA)",Brooklyn,NY,28,2:55:51,F
"» Scofield, Bret (USA)",Palo Alto,CA,28,2:55:57,F
"» Akhmedova, Oksana (RUS)",Moscow,Moscow,28,2:56:01,F
"» Pishny, Eleanor (USA)",Menlo Park,CA,31,2:56:17,F
"» Wrenn, Bean (USA)",Boulder,CO,43,2:56:26,F
"» Hamstra-Wright, Karrie (USA)",Chicago,IL,39,2:56:32,F
"» Fox, Emily (USA)",New York,NY,27,2:56:37,F
"» Barbour, Hannah (USA)",Boone,NC,22,2:56:49,F
"» Horn, Sarah (USA)",Portland,OR,33,2:56:59,F
"» Spehar, Elizabeth (USA)",St Paul,MN,28,2:57:07,F
"» Walker, Jennifer (USA)",Irvine,CA,34,2:57:11,F
"» Dumont, Claudia (BRA)",Nova Lima,Minas Ger...,39,2:57:33,F
"» Baliga, Sr. Stephanie (USA)",Chicago,IL,28,2:57:47,F
"» Meyer, Lauren (USA)",Charlestown,MA,29,2:58:08,F
"» Whittaker, Kelly (USA)",Boston,MA,30,2:58:08,F
"» Manuel Silva, Samares (BRA)",Ribeiraao Preto,Sa...,28,2:58:15,F
"» Chua, Catherine (USA)",Richmond Hill,NY,40,2:58:26,F
"» Blackman, Camille (USA)",Evanston,IL,22,2:58:34,F
"» Quintero Petris, Margarita (MEX)",Zapopan,jalisco,26,2:58:38,F
"» Henstrom, Stephanie (USA)",Portland,OR,40,2:58:39,F
"» Onishi, Annie (USA)",New York,NY,29,2:58:39,F
"» Manuel, Lauren (USA)",Indianapolis,IN,33,2:58:40,F
"» Rasch, Silvana (GUA)",Guatemala,,41,2:58:45,F
"» Bogantes Gonzalez, Diana (CRC)",Alajuela,,27,2:59:01,F
"» Gries, Samantha (USA)",Appleton,WI,27,2:59:04,F
"» Fukushima, Wakana (JPN)",Chiyoda-Ku,Tokyo,33,2:59:05,F
"» Ranson, Caitlin (USA)",Portland,OR,31,2:59:13,F
"» Viele, Rachel (USA)",Vail,CO,36,2:59:22,F
"» Waslen, Kathryn (CAN)",Calgarz,AB,33,2:59:30,F
"» Reyes, Melissa (USA)",Unit H,CO,34,2:59:31,F
"» Kniaziew Gervais, Blaire (CAN)",Windsor,ON,40,2:59:32,F
"» Marshall, Wendy (USA)",Cincinnati,OH,42,2:59:41,F
"» Weldy, Carrie (USA)",Phoenix,AZ,38,2:59:42,F
"» Knuchel, Kathrin (SUI)",Thun,,36,3:00:02,F
"» Allen, Riki (USA)",Chicago,IL,29,3:00:15,F
"» Bruijn, Merel (NED)",Amsterdam,,27,3:00:17,F
"» Kos, Lindsay (USA)",New York,NY,29,3:00:17,F
"» Junqueira, Mariana (BRA)",Sao Paulo,Sao Paulo,36,3:00:28,F
"» Filut, Dara (USA)",New York,NY,35,3:00:40,F
"» Craddick, Karen (USA)",Los Angeles,CA,32,3:00:51,F
"» Smith, Molly (USA)",Denver,CO,36,3:00:53,F
"» Laurence, Whitney (USA)",Chicago,IL,30,3:00:57,F
"» Miranda, Catalina (CRC)",San Jose,,40,3:00:59,F
"» Staton, Pamela (USA)",Chicago,IL,29,3:01:19,F
"» Thomas, Ann (USA)",Birmingham,AL,33,3:01:26,F
"» Kohlmeier, Amanda (CAN)",Ypsilanti,MI,32,3:01:31,F
"» Guertin, Valere (USA)",Chicago,IL,24,3:01:31,F
"» Clark, Alyvia (USA)",Chicago,IL,24,3:01:41,F
"» Rossano, Jennifer (USA)",Mccordsville,IN,31,3:01:42,F
"» Fosnot, Alyson (USA)",Indianapolis,IN,25,3:01:46,F
"» Montes, Columba (USA)",Chicago,IL,37,3:02:11,F
"» Barrett, Liz (USA)",Jenkintown,PA,24,3:02:29,F
"» Betancourth, Maria (USA)",Menifee,CA,29,3:02:31,F
"» Toledo, Sylvanna (GUA)",Guatemala,,34,3:02:52,F
"» Oh, Yann Kai (MAS)",350,Victoria Road,32,3:02:55,F
"» Mitsos, Janna (USA)",Chicago,IL,25,3:02:57,F
"» Pazda-Pozorska, Malgorzata (POL)",Kobylnica,pomorskie,34,3:03:01,F
"» Snyder, Jordan (USA)",New York,NY,25,3:03:01,F
"» Inoue, Tomomi (JPN)",Yokohama,Kanagawa,27,3:03:22,F
"» Clark, Sarah (USA)",Edgewater,CO,34,3:03:37,F
"» Tarbiat, Shalaleh (CAN)",Thornhill,ON,34,3:03:58,F
"» Hicks, Amanda (USA)",Washington,DC,32,3:03:59,F
"» Lavezo, Laura (USA)",Seattle,WA,26,3:04:08,F
"» Arpin, Azelie (CAN)",Boucherville,QC,37,3:04:13,F
"» Ziga Laster, Karen (USA)",Brooklyn,NY,31,3:04:21,F
"» Willy, Cathleen (USA)",Pismo Beach,California,32,3:04:21,F
"» Stanek, Lindsey (USA)",Cincinnati,OH,28,3:04:27,F
"» Hodge, Danielle (USA)",North Liberty,IA,29,3:04:34,F
"» Tellez, C.C. (USA)",Philadelphia,PA,38,3:04:36,F
"» Walter, Katie (USA)",Chapel Hill,NC,24,3:04:40,F
"» Sudol, Dawn (USA)",Victor,NY,32,3:04:43,F
"» Li, Anna (USA)",San Francisco,CA,28,3:04:43,F
"» Wichmann, Katherine (USA)",Hawthorn Woods,IL,30,3:04:44,F
"» Steele, Alison (USA)",Longmont,CO,36,3:04:53,F
"» Tamby, Nadia (USA)",Austin,TX,28,3:05:11,F
"» Olsen, Lindsay (USA)",Chicago,IL,26,3:05:12,F
"» Kirsch, Ali (USA)",Davenport,IA,31,3:05:18,F
"» Torda, Adrienne (AUS)",Randwick,New South ...,51,3:05:20,F
"» Lund, Shari (USA)",Elmhurst,IL,22,3:05:27,F
"» Everard, Melissa (USA)",San Diego,CA,37,3:05:30,F
"» Rodriguez, Claudia (MEX)",Bakersfield,CA,33,3:05:31,F
"» Young, Lacey (USA)",De Queen,AR,34,3:05:35,F
"» Gibby, Jessica (USA)",Palo Alto,CA,29,3:05:38,F
"» Clark, Bethany (USA)",Philadelphia,PA,28,3:05:39,F
"» Mascarenas, Olga (MEX)",Key Biscayne Fl,FL,35,3:05:39,F
"» Baker, Amy (USA)",Austin,TX,32,3:05:42,F
"» Mcardle, Bree (AUS)",Portland,OR,27,3:05:45,F
"» Noordstar, Christina (USA)",Tierra Verde,FL,40,3:05:47,F
"» Cadavid, Andrea (USA)",Raleigh,NC,24,3:05:56,F
"» Montag, Julia (USA)",Portland,OR,28,3:05:58,F
"» Barwick, Lindsay (GBR)",Wellington,Miramar,42,3:06:07,F
"» Dorgan, Caitlin (USA)",Red Bank,NJ,28,3:06:10,F
"» Paterno, Molly (USA)",Los Angeles,CA,30,3:06:13,F
"» Vander Stoep, Deborah (USA)",Beaverton,OR,30,3:06:15,F
"» Richman, Julia (USA)",Denver,CO,34,3:06:17,F
"» Winters, Jennifer (USA)",Round Rock,TX,36,3:06:18,F
"» Rouse, Courtney (USA)",Gainesville,FL,22,3:06:37,F
"» Mathews, Shannon (USA)",San Francisco,CA,26,3:06:41,F
"» Magnuson, Hannah (USA)",Normal,IL,22,3:06:55,F
"» Spiroff, Alexandra (USA)",Chicago,IL,23,3:06:55,F
"» Brill, Jennifer (USA)",Washington,DC,26,3:06:55,F
"» Lightowler, Kara (USA)",Orange,CT,26,3:06:56,F
"» Wright-Simmons, Georgia (USA)",Boston,MA,26,3:07:06,F
"» Nichols, Leah (USA)",Chicago,IL,25,3:07:14,F
"» Garcia, Lina (USA)",San Juan,,49,3:07:26,F
"» Leer, Anna (USA)",Denver,CO,32,3:07:30,F
"» Gallagher, Kelley (USA)",Mundelein,IL,24,3:07:31,F
"» Schulz, Heather (USA)",Orlando,FL,42,3:07:39,F
"» Willard, Gillian (CAN)",Waterloo,ON,27,3:07:46,F
"» Heintz, Laura (USA)",New York,NY,39,3:07:49,F
"» Maggard, Molly (USA)",Miamisburg,OH,32,3:07:51,F
"» Basile, Ellen (USA)",New York,NY,44,3:07:52,F
"» Bugh, Alissa (USA)",Chicago,IL,31,3:07:52,F
"» Anjos, Liz (USA)",Portland,OR,31,3:07:52,F
"» Ruhlman, Katie (USA)",Dayton,OH,26,3:07:54,F
"» Beaton, Kara (USA)",League City,TX,34,3:07:59,F
"» Shulik, Emily (USA)",Humble,TX,26,3:08:03,F
"» Van Heerden, Erica (USA)",Chicago,IL,35,3:08:12,F
"» Conley, Maureen (USA)",Twin Oaks,MO,32,3:08:29,F
"» Winters, Annabelle (USA)",Chicago,IL,34,3:08:30,F
"» Beausoleil, Kate (USA)",Bettendorf,IA,27,3:08:40,F
"» Fitzsimmons, Kristin (USA)",Rochester,NY,29,3:08:49,F
"» Shokey, Jaclyn (USA)",Jim Thorpe,PA,39,3:08:55,F
"» Laureano, Veronica (MEX)",Chicago,IL,32,3:09:00,F
"» Brecher, Erica (USA)",Chapel Hill,NC,30,3:09:04,F
"» Vivinetto, Christina (USA)",New York,NY,24,3:09:08,F
"» Devitt, Kerry (USA)",Chicago,IL,28,3:09:09,F
"» Metcalfe, Danica (CAN)",Hanover,ON,32,3:09:10,F
"» Bogan, Dana (USA)",Brighton,MA,28,3:09:21,F
"» Burbach, Cristina (USA)",Arlington,VA,42,3:09:21,F
"» Sukramani, Natalie (USA)",Charlotte,NC,23,3:09:23,F
"» Santerre, Sonia (CAN)",Chambly,QC,47,3:09:26,F
"» Hurn, Michelle (USA)",Lafayette,CO,33,3:09:27,F
"» Sykora, Lauren (USA)",Naperville,IL,27,3:09:33,F
"» Hobson, Valery (CAN)",Kitchener,ON,47,3:09:39,F
"» Mautz, Lisa (USA)",Delafield,WI,38,3:09:43,F
"» Murray, Rebecca (USA)",Franklin,TN,31,3:09:44,F
"» Shabanowitz, Aliza (USA)",Arlington,VA,30,3:10:04,F
"» Chen, Felicia (USA)",Oak Brook,IL,40,3:10:05,F
"» Hendrickson, Sara (USA)",Altoona,IA,29,3:10:06,F
"» Siruffo Perez, Maria (ESP)",Guildford,Surrey,36,3:10:07,F
"» Loyd, Bailey (USA)",Kansas City,KS,25,3:10:08,F
"» Gulbrandsen, Erinn (USA)",Chico,CA,35,3:10:15,F
"» Plank, Stephanie (USA)",Dublin,OH,29,3:10:21,F
"» Kasabian-Larson, Sarah (USA)",Alma,MI,34,3:10:27,F
"» Petry, Kati (USA)",Chicago,IL,31,3:10:42,F
"» Anglin, Monique (CAN)",Toronto,ON,34,3:10:43,F
"» Kremin, Marijke (USA)",New York,NY,25,3:10:49,F
"» Margel, Charlotte (USA)",Chicago,IL,25,3:10:55,F
"» Kuester, Meike (GER)",Fort Leonard Wood,MO,41,3:11:00,F
"» Snider-Rodriguez, Jessica (USA)",New York,NY,28,3:11:02,F
"» Merrill, Kristina (USA)",Louisville,KY,42,3:11:03,F
"» Andreski, Erin (USA)",Dousman,WI,30,3:11:05,F
"» Rosapep, Lauren (USA)",Washington,DC,33,3:11:05,F
"» Blondell, Jillian (USA)",Woodridge,IL,32,3:11:06,F
"» Kenny, Vanessa (USA)",New Lenox,IL,29,3:11:08,F
"» Menschel, Celene (USA)",New York,NY,33,3:11:10,F
"» Fox, Rachel (USA)",Flower Mound,TX,43,3:11:12,F
"» Whinihan, Erika (USA)",Seattle,WA,36,3:11:12,F
"» Morgan, Mariko (JPN)",Spokane,WA,36,3:11:19,F
"» Galvez Bakx, Claudia (CHI)",Vitacura,Santiago,33,3:11:27,F
"» Ostaszewski, Sarah (USA)",Crown Point,IN,25,3:11:31,F
"» Zepeda, Yessica (MEX)",Mexico,CIUDAD DE...,31,3:11:34,F
"» Huerta, Sarah (USA)",Winona,MN,27,3:11:35,F
"» Haavisto, Elina (FIN)",Helsinki,,43,3:11:35,F
"» Pavicic, Mary Patricia (USA)",Euclid,OH,33,3:11:39,F
"» John, Samantha (USA)",Long Island City,NY,30,3:11:39,F
"» Melchor, Nerida (MEX)",Puebla,PUEBLA,38,3:11:41,F
